TOP.595ecc12.00062fa5	START
TOP.5962e95b.000742cd	user_options->markov_classic	0
TOP.5962e95b.000742cd	user_options->markov_disable	0
TOP.5962e95b.000742cd	user_options->markov_threshold	256
TOP.5962e95b.000742cd	user_options->nvidia_spin_damp	100
TOP.5962e95b.000742cd	user_options->opencl_info	0
TOP.5962e95b.000742cd	user_options->opencl_vector_width	0
TOP.5962e95b.000742cd	user_options->outfile_autohex	1
TOP.5962e95b.000742cd	user_options->outfile_check_timer	5
TOP.5962e95b.000742cd	user_options->outfile_format	3
TOP.5962e95b.000742cd	user_options->potfile_disable	0
TOP.5962e95b.000742cd	user_options->powertune_enable	0
TOP.5962e95b.000742cd	user_options->quiet	0
TOP.5962e95b.000742cd	user_options->remove	0
TOP.5962e95b.000742cd	user_options->remove_timer	60
TOP.5962e95b.000742cd	user_options->restore	0
TOP.5962e95b.000742cd	user_options->restore_disable	0
TOP.5962e95b.000742cd	user_options->restore_timer	60
TOP.5962e95b.000742cd	user_options->rp_files_cnt	0
TOP.5962e95b.000742cd	user_options->rp_gen	0
TOP.5962e95b.000742cd	user_options->rp_gen_func_max	4
TOP.5962e95b.000742cd	user_options->rp_gen_func_min	1
TOP.5962e95b.000742cd	user_options->rp_gen_seed	0
TOP.5962e95b.000742cd	user_options->runtime	0
TOP.5962e95b.000742cd	user_options->scrypt_tmto	0
TOP.5962e95b.000742cd	user_options->segment_size	33554432
TOP.5962e95b.000742cd	user_options->show	0
TOP.5962e95b.000742cd	user_options->status	0
TOP.5962e95b.000742cd	user_options->status_timer	10
TOP.5962e95b.000742cd	user_options->stdout_flag	0
TOP.5962e95b.000742cd	user_options->speed_only	0
TOP.5962e95b.000742cd	user_options->progress_only	0
TOP.5962e95b.000742cd	user_options->usage	0
TOP.5962e95b.000742cd	user_options->username	0
TOP.5962e95b.000742cd	user_options->veracrypt_pim	0
TOP.5962e95b.000742cd	user_options->version	0
TOP.5962e95b.000742cd	user_options->weak_hash_threshold	100
TOP.5962e95b.000742cd	user_options->workload_profile	2
TOP.5962e95b.000742cd	hashes->hashfile	hashcat-3.6.0/example0.hash
TOP.5962e95b.000742cd	hashes->hashlist_mode	4
TOP.5962e95b.000742cd	hashes->hashlist_format	0
TOP.5962e95b.000742cd	hashes->hashes_cnt	0
TOP.5962e95b.000742cd	hashes->digests_cnt	6494
TOP.5962e95b.000742cd	hashes->digests_done	0
TOP.5962e95b.000742cd	hashes->salts_cnt	1
TOP.5962e95b.000742cd	hashes->salts_done	0
TOP.5962e95b.000742cd	SUB.5962e95d.000bf555	START
TOP.5962e95b.000742cd	SUB.5962e95d.000bf555	straight_ctx->dict	dicts/rockyou.txt
TOP.5962e95b.000742cd	SUB.5962e95d.000bf555	runtime_start	1499654494
TOP.5962e95b.000742cd	SUB.5962e95d.000bf555	runtime_stop	1499654495
TOP.5962e95b.000742cd	SUB.5962e95d.000bf555	status-after-work	4
TOP.5962e95b.000742cd	SUB.5962e95d.000bf555	STOP
TOP.5962e95b.000742cd	proc_start	1499654491
TOP.5962e95b.000742cd	proc_stop	1499654496
TOP.5962e95b.000742cd	STOP
TOP.5962e960.000bcd79	START
